Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,YieldUnitWeight(lb)_Bau,YieldUnitWeight(lb)_Joh,YieldUnitWeight(lb)_Roberts,YieldUnitWeight(lb)_WEEP,YieldUnitWeight(lb)_Men,YieldUnitWeight(lb)_Guy,YieldUnitWeight(lb)_Mc,YieldUnitWeight(lb)_Mah,YieldUnitWeight(lb)_Sha,YieldUnitWeight(lb)_Sch,YieldUnitWeight(lb)_Atu,YieldUnitWeight(lb)_Zim,YieldUnitWeight(lb)_Scu,YieldUnitWeight(lb)_John,YieldUnitWeight(lb)_Arc,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,DryMatter%_F&N,DryMatter%_Alb,DryMatter%_Est1,DryMatter%_Est2,DryMatter%_Est3,DryMatter%_Est4,DryMatter%_Est5,DryMatter%_Est6,DryMatter%_M&R,DryMatter%_M&L,DryMatter%_Sun,DryMatter%_Gro,DryMatter%_AgH8-9,DryMatter%_AgH8-12,DryMatter%_B788,AvDryMatter%,N%(dry)_NAS,N%(dry)_F&L,N%(dry)_F&N,N%(dry)_Swa,N%(dry)_Chapko,N%(dry)_Hill,N%(dry)_Bru,N%(dry)_AgH8-9,N%(dry)_AgH8-12,N%(dry)_B788,N%(dry)_M&L,N%(dry)_M-FF,N%(dry)_M&R,N%(dry)_Foster,N%(dry)_Rob1,N%(dry)_Rob2,N%(dry)_Coa,N%(dry)_And,N%(dry)_Gol1,N%(dry)_Gol2,N%(dry)_Wol,N%(dry)_Pete,N%(dry)_Col,N%(dry)_Alb,N%(dry)_Arc,N%(dry)_Bis,N%(dry)_Gar,N%(dry)_Heg,N%(dry)_Flo,N%(dry)_Feil,N%(dry)_Bre,N%(dry)_Burns,N%(dry)_Coc,P%(dry)_M-FF,P%(dry)_NAS,P%(dry)_F&L,P%(dry)_F&N,P%(dry)_AgH8-9,P%(dry)_AgH8-12,P%(dry)_B788,P%(dry)_M&L,P%(dry)_L&V,P%(dry)_Foster,P%(dry)_Rob1,P%(dry)_Rob2,P%(dry)_Coa,P%(dry)_And,P%(dry)_Gol1,P%(dry)_Gol2,P%(dry)_Sims,P%(dry)_Wol,P%(dry)_Pete,P%(dry)_Col,P%(dry)_Alb,P%(dry)_Arc,P%(dry)_Swa,P%(dry)_Rei,K%(dry)_M-FF,K%(dry)_NAS,K%(dry)_F&L,K%(dry)_F&N,K%(dry)_AgH8-9,K%(dry)_AgH8-12,K%(dry)_B788,K%(dry)_Foster,K%(dry)_Rob1,K%(dry)_Rob2,K%(dry)_Coa,K%(dry)_And,K%(dry)_Gol1,K%(dry)_Gol2,K%(dry)_Sims,K%(dry)_Wol,K%(dry)_Pete,K%(dry)_Col,K%(dry)_Alb,K%(dry)_Arc,K%(dry)_Swa,K%(dry)_Rei,Moisture%_M&R,Moisture%_M&L,Moisture%_Sun,Moisture%_Gro,gWater/100g_AgH8-9,gWater/100g_AgH8-12,gWater/100g_B788,Protein%(dry)_NAS,Protein%(dry)_F&L,Protein%(dry)_F&N,Protein%(dry)_Swa,Protein%(dry)_Chapko,Protein%(dry)_Hill,Protein%(dry)_Bru,Protein%(dry)_Bis,Protein%(dry)_Gar,Protein%(dry)_Heg,Protein%(dry)_Flo,Protein%(dry)_Feil,Protein%(dry)_Bre,Protein%(dry)_Burns,gProtein/100g(wet)_AgH8-9,gProtein/100g(wet)_AgH8-12,gProtein/100g(wet)_B788,Protein%(wet)_M&L,N%(wet)_M-FF,P%(wet)_M-FF,gP/100g(wet)_AgH8-9,gP/100g(wet)_AgH8-12,gP/100g(wet)_B788,P%(wet)_M&L,K%(wet)_M-FF,gK/100g(wet)_AgH8-9,gK/100g(wet)_AgH8-12,gK/100g(wet)_B788,
"Grass, for hay (mature)",Poaceae,None,"N,P",Aboveground biomass,Forage,ton,2000,9.57,0.842666667,0.16,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,90.9,90.4,90,,,,,,,,,,,,,,,90.43,0.56,1.28,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grass, for silage, (early bloom)",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,75.1,1.84,0.32,1.88,"2,000",,,,,,,,,,,,,,,,,23.4,28.3,23,,,,,,,,,,,,,,,24.9,1.936,1.648,1.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,10.3,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundcherry,Physalis sp.,None,"N,P",Fruit,Tree and fruit,lb of fruit,1,85.4,2.082191781,0.273972603,#DIV/0!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,14.6,,,,,,,,2.082191781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273972603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,,,,,,,,,,,,,,,,,1.9,,,,,,0.04,,,,,,,,
"Guar, for green chop (mature)",Cyamopsis tetragonoloba,CYTE11,"N,P,K",Aboveground biomass,Forage,ton,2000,80.8,1.904,0.16,1.91,"2,000",,,,,,,,,,,,,,,,,19.2,,,,,,,,,,,,,,,,,19.2,1.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guar, for green chop (pre bloom)",Cyamopsis tetragonoloba,CYTE11,N,Aboveground biomass,Forage,ton,2000,80.8,2.56,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,19.2,,,,,,,,,,,,,,,,,19.2,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guar, for green chop (vegetative)",Cyamopsis tetragonoloba,CYTE11,"N,P,K",Aboveground biomass,Forage,ton,2000,81,2.336,0.17,1.92,"2,000",,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,19,2.336,,2.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guar, for hay",Cyamopsis tetragonoloba,CYTE11,N,Aboveground biomass,Forage,ton,2000,8.05,2.664,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,91.9,,92,,,,,,,,,,,,,,,91.95,2.768,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guava-Common,Psidium guajava,PSGU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.1,0.943884892,0.179856115,2.043165468,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,13.9,,,,,,,,0.943884892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179856115,,,,,,,,,,,,,,,,,,,,,,,,2.043165468,,,,,,,,,,,,,,,,,,,,,,86.1,,,,,,,,,,,,,,,,,0.82,,,,,,0.025,,,,,0.284,,,
Guava-Strawberry,Psidium cattleianum,PSCA,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,80.66,0.47983454,0.139607032,1.509824199,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.34,,,19.34,,,,,,,,0.47983454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139607032,,,,,,,,,,,,,,,,,,,,,,,,1.509824199,,,,,,,,,,,,,,,,,,,,,,80.66,,,,,,,,,,,,,,,,,0.58,,,,,,0.027,,,,,0.292,,,
Hickory Nut (dry),Carya sp.,CARYA,"N,P,K",Nut,Tree and fruit,lb of nut,1,2.65,2.090600925,0.345146379,0.447868516,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.35,,97.35,,,,,,,,,2.090600925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345146379,,,,,,,,,,,,,,,,,,,,,,,,0.447868516,,,,,,,,,,,,,,,,,,,,,,2.65,,,,,,,,,,,,,,,,,12.72,,,,,,0.336,,,,,0.436,,
Jackfruit,Artocarpus heterophyllus,ARHE2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,72.23,0.846957148,0.129636298,1.09110551,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.77,,,27.77,,,,,,,,0.846957148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129636298,,,,,,,,,,,,,,,,,,,,,,,,1.09110551,,,,,,,,,,,,,,,,,,,,,,72.23,,,,,,,,,,,,,,,,,1.47,,,,,,0.036,,,,,0.303,,,
Java-plum,Syzygium cumini,SYCU,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,83.13,0.682868998,0.100770599,0.4682869,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.87,,,16.87,,,,,,,,0.682868998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100770599,,,,,,,,,,,,,,,,,,,,,,,,0.4682869,,,,,,,,,,,,,,,,,,,,,,83.13,,,,,,,,,,,,,,,,,0.72,,,,,,0.017,,,,,0.079,,,
"Jojoba, for seed",Simmondsia chinensis,SICH,N,Seed,Fiber and miscellaneous,lb of seed,1,4.9,2.368,#DIV/0!,#DIV/0!,1,,,,,,,,,,,,,,,,,95.1,,,,,,,,,,,,,,,,,95.1,2.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jujube-Common,Ziziphus zizyphus,ZIZI,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,77.86,0.867208672,0.103884372,1.129177958,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.14,,,22.14,,,,,,,,0.867208672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103884372,,,,,,,,,,,,,,,,,,,,,,,,1.129177958,,,,,,,,,,,,,,,,,,,,,,77.86,,,,,,,,,,,,,,,,,1.2,,,,,,0.023,,,,,0.25,,,
"Kale, for leaf",Brassica oleracea,BROL,"N,P,K",Leaf,Vegetable,lb of leaf,1,85,3.52,0.373333333,2.666666667,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373333333,,,,,,,,,,,,,,,,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,3.3,,,,,,0.056,,,,,0.4,
"Kale, for green chop",Brassica oleracea,BROL,"N,P,K",Stem and leaf,Forage,lb of leaf,1,88.53,3.398779661,0.529491525,3.03,35,,,,,,,,,,,,,,,,11.8,11.6,,11,,,,,,,,,,,,,,,11.47,3.328,,3.648,,,,,,,,,3.220338983,,,,,,,,,,,,,,,,,,,,,,0.508474576,0.51,,0.57,,,,,,,,,,,,,,,,,,,,,,3.02,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,,22.8,,,,,,,,,,,,,,,,0.38,0.06,,,,,,,,,
Kiwi,Actinidia deliciosa,not in PLANTS,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,83.05,0.934513274,0.235988201,1.958702065,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95,,,16.95,,,,,,,,0.934513274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235988201,,,,,,,,,,,,,,,,,,,,,,,,1.958702065,,,,,,,,,,,,,,,,,,,,,,83.05,,,,,,,,,,,,,,,,,0.99,,,,,,0.04,,,,,0.332,,,
Kohlrabi,Brassica oleracea var. gongylodes,BROLG2,"N,P,K",Stem,Vegetable,lb of stem,1,91,3.022222222,0.511111111,3.888888889,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,3.022222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511111111,,,,,,,,,,,,,,,,,,,,,,,,3.888888889,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,1.7,,,,,,0.046,,,,,0.35,
Kumquat,Fortunella sp.,FORTU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.7,0.786885246,0.103825137,1.065573771,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,,,18.3,,,,,,,,0.786885246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103825137,,,,,,,,,,,,,,,,,,,,,,,,1.065573771,,,,,,,,,,,,,,,,,,,,,,81.7,,,,,,,,,,,,,,,,,0.9,,,,,,0.019,,,,,0.195,,,
Leek,Allium porrum,ALPO2,"N,P,K",Bulb,Vegetable,lb of fruit ,1,83,1.411764706,0.205882353,1.058823529,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,,,,,,,,,,1.411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205882353,,,,,,,,,,,,,,,,,,,,,,,,1.058823529,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,1.5,,,,,,0.035,,,,,0.18,
Lemon,Citrus limon,CILI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,87.2,1.511904762,0.119047619,1.150793651,79,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,12.6,,,12.8,,,,,,,,1.523809524,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,0.119047619,,,,,,,,,,,,,,,,,,,,,,,,1.150793651,,,,,,,,,,,,,,,,,,87,,,,87.4,,,,,,,,,,,,,,,,,1.2,,,,,,0.015,,,,,0.145,,,
"Lentil-Common, for seed",Lens culinaris,LECU2,"N,P,K",Seed,Vegetable,lb of seed,1,11.33,4.362666667,0.426666667,0.856666667,60,,,,,,,,,,,,,,,,,88.5,89.5,88,,,,,,,,,,,,,,,88.67,4.48,4.192,4.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.42,,,,,,,,,,,,,,,,,,,,,,0.89,0.79,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,28,26.2,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Korean, for hay (early bloom)",Kummerowia stipulacea,KUST,N,Aboveground biomass,Forage,ton,2000,6.1,2.448,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,93.9,,,,,,,,,,,,,,,,,93.9,2.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Korean, for hay (full bloom)",Kummerowia stipulacea,KUST,"N,P,K",Aboveground biomass,Forage,ton,2000,9,2.288,0.24,0.96,"2,000",,,,,,,,,,,,,,,,,91,91,,,,,,,,,,,,,,,,91,2.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Korean, for hay (pre bloom)",Kummerowia stipulacea,KUST,N,Aboveground biomass,Forage,ton,2000,13,1.984,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,87,1.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Korean, for hay (vegetative)",Kummerowia stipulacea,KUST,"N,P,K",Aboveground biomass,Forage,ton,2000,9.6,2.544,0.21,1.05,"2,000",,,,,,,,,,,,,,,,,90.4,90.4,,,,,,,,,,,,,,,,90.4,2.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Sericea, for hay",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,10,2.221865471,0.248318386,1.099327354,"2,000",,,,,,,,,,,,,,,,89.2,90.8,,,,,,,,,,,,,,,,,90,2.224,,,,,,,,,,,2.219730942,,,,,,,,,,,,,,,,,,,,,,0.246636771,0.25,,,,,,,,,,,,,,,,,,,,,,,1.098654709,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,1.98,0.22,,,,,0.98,,,,
"Lespedeza-Sericea, for hay (cut 2)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,8.6,2.304,0.23,1.01,"2,000",,,,,,,,,,,,,,,,,91.4,,,,,,,,,,,,,,,,,91.4,2.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Sericea, for hay (cut 3)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,8.2,2.416,0.23,0.93,"2,000",,,,,,,,,,,,,,,,,91.8,,,,,,,,,,,,,,,,,91.8,2.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Sericea, for hay (early bloom)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,5.4,2.752,0.26,0.69,"2,000",,,,,,,,,,,,,,,,,94.6,,,,,,,,,,,,,,,,,94.6,2.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Sericea, for hay (full boom)",Lespedeza cuneata,LECU,"N,P",Aboveground biomass,Forage,ton,2000,5.6,2.432,0.22,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,94.4,,,,,,,,,,,,,,,,,94.4,2.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Sericea, for hay (mid bloom)",Lespedeza cuneata,LECU,N,Aboveground biomass,Forage,ton,2000,7.2,2.704,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,92.8,,,,,,,,,,,,,,,,,92.8,2.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Sericea, for hay (vegetative)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,5.8,2.976,0.27,0.99,"2,000",,,,,,,,,,,,,,,,,94.2,,,,,,,,,,,,,,,,,94.2,2.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Sericea, for seed",Lespedeza cuneata,LECU,N,Aboveground biomass,Forage,ton,100,7.7,5.807575298,#DIV/0!,#DIV/0!,100,,,,,,,,,,,,,,,,92.3,92.3,,,,,,,,,,,,,,,,,92.3,5.808,,,,,,,,,,,5.807150596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,,,,,,,,,,,,,,,,5.36,,,,,,,,,,
"Lespedeza-Striate, for hay",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,11,2.496,0.29,1.37,"2,000",,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,89,,,2.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Striate, for hay (early bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,9,2.608,0.24,1.1,"2,000",,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,91,,,2.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Striate, for hay (full bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.87,2.264,0.206666667,1.036666667,"2,000",,,,,,,,,,,,,,,,,89.1,89.3,89,,,,,,,,,,,,,,,89.13,2.24,,2.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,1.03,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,14,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Striate, for hay (mid bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,8,2.016,0.183333333,1.033333333,"2,000",,,,,,,,,,,,,,,,,94.2,90.8,91,,,,,,,,,,,,,,,92,,,2.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,1.02,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Striate, for hay (pre bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.07,2.56,0.266666667,1.213333333,"2,000",,,,,,,,,,,,,,,,,89.1,88.7,89,,,,,,,,,,,,,,,88.93,2.56,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.29,0.22,,,,,,,,,,,,,,,,,,,,,,1.07,1.37,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lettuce-Butterhead or Curled, for leaf",Lactuca sativa L. var. crispa,not in PLANTS,"N,P,K",Head,Vegetable,lb of leaf,1,96,4.8,0.775,6.75,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775,,,,,,,,,,,,,,,,,,,,,,,,6.75,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,1.2,,,,,,0.031,,,,,0.27,
"Lettuce-Chrisphead or Iceberg or Great Lakes, for leaf",Lactuca sativa L. var. capitata,not in PLANTS,"N,P,K",Head,Vegetable,lb of leaf,1,95,2.56,0.5,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,0.8,,,,,,0.025,,,,,0.1,
"Lettuce-Head, for head",Lactuca sativa,LASA3,"N,P,K",Head,Vegetable,lb of leaf,1,94.8,3.81,0.48,4.52,50,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,5,,,,,,,5.2,3.52,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,0.5,,,,,,,,,,,,,,,,,4.52,,,,,,,,,,,,,,,,,,,,,95,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lettuce-Romaing or Cos, for leaf",Lactuca sativa var. longifolia,not in PLANTS,"N,P,K",Head,Vegetable,lb of leaf,1,94,4.266666667,0.75,6.666666667,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,4.266666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,6.666666667,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,1.6,,,,,,0.045,,,,,0.4,
Lime,Citrus aurantiifolia,CIAU4,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,88.26,0.954003407,0.153321976,0.868824532,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74,,,11.74,,,,,,,,0.954003407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153321976,,,,,,,,,,,,,,,,,,,,,,,,0.868824532,,,,,,,,,,,,,,,,,,,,,,88.26,,,,,,,,,,,,,,,,,0.7,,,,,,0.018,,,,,0.102,,,
Longan,Dimocarpus longan,DILO7,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,82.75,1.215072464,0.12173913,1.542028986,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25,,,17.25,,,,,,,,1.215072464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12173913,,,,,,,,,,,,,,,,,,,,,,,,1.542028986,,,,,,,,,,,,,,,,,,,,,,82.75,,,,,,,,,,,,,,,,,1.31,,,,,,0.021,,,,,0.266,,,
Loquat,Eriobotrya japonica,ERJA3,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,86.73,0.518462698,0.203466466,2.004521477,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.27,,,13.27,,,,,,,,0.518462698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203466466,,,,,,,,,,,,,,,,,,,,,,,,2.004521477,,,,,,,,,,,,,,,,,,,,,,86.73,,,,,,,,,,,,,,,,,0.43,,,,,,0.027,,,,,0.266,,,
Lychee Nut,Litchi chinensis,LICH4,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.76,0.728070175,0.16995614,0.9375,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.24,,,18.24,,,,,,,,0.728070175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16995614,,,,,,,,,,,,,,,,,,,,,,,,0.9375,,,,,,,,,,,,,,,,,,,,,,81.76,,,,,,,,,,,,,,,,,0.83,,,,,,0.031,,,,,0.171,,,
